Name,Unit price
4 ft x 1 ft Window (Slider) ,"$1,317.00"
4 ft x 1 ft Window (Picture),"$1,317.00"
4 Burner Electric Stovetop,$975.00
Shelving  - 40' ,"$3,172.00"
40 ft New Open Side Container,"$14,430.00"
40' Modifier - High Cube,"$2,723.00"
40 ft Used Standard Container,"$2,923.00"
40 ft New Standard Container,"$6,800.00"
40 ft LP SmartSide,"$4,901.00"
40 ft Deck - Composite Upgrade,"$4,554.00"
40 ft Container Cafe,"$49,060.00"
3 ft x 1 ft Window (Picture),"$1,134.00"
2 ft x 4 ft Window (Picture),"$1,419.00"
3 ft x 1 ft Window (Slider),"$1,134.00"
3 ft Quartz Countertop Upgrade,"$1,391.00"
"36"" Overhead Kitchen Cabinet","$1,471.00"
36 in x 80 in Smooth Front Door,"$1,824.00"
36 in x 80 in Half Glass Door Blinds,"$2,770.00"
36 in x 80 in Full Glass Door Blinds,"$2,839.00"
30 in Pocket Door,$918.00
30 in Barn Door,"$1,231.00"
2 ft x 4 ft Window (Slider),"$1,419.00"
2 Burner Electric Stovetop,$732.00
220v Outlet,$246.00
20' Used Container,"$2,151.00"
20 ft Container Kitchen,"$48,461.00"
20' Open Side Container,"$7,500.00"
20 ft New High Cube Container,"$3,785.00"
20' New Container,"$3,240.00"
20' Modifier - High Cube,"$2,723.00"
20 ft Interior Finish Upgrade - Plywood,"$1,580.00"
20 ft LP SmartSide,"$2,649.00"
20 ft Deck - Composite Upgrade,"$2,277.00"
Plumbing- 20 ft Home,"$5,004.00"
20 ft Concession Stand,"$33,231.00"
40 ft Airline Deck Cables,"$3,178.00"
20 ft Airline Deck Cables,"$1,385.00"
20 ft Wood Vinyl Floor,"$1,525.00"
110V Plug,$135.00
10 ft Bump Out,"$14,275.00"
Desk (L-Shape),$923.00
"""The Horseshoe"" Model ","$175,000.00"
10 ft Container Restroom,"$30,849.00"
40 ft Used Working Reefer Container,"$9,500.00"
20'  New working Reefer Container,"$23,500.00"
40 ft Container Restroom,"$83,856.00"
Interior Shiplap 20' - Rustic Rough Cut,"$7,283.00"
Interior Shiplap 20' - Grey,"$8,549.00"
Interior Shiplap 20' - White,"$8,168.00"
20 ft ZONE 8,"$4,990.00"
20 ft ZONE 7,"$4,659.00"
20 ft ZONE 6,"$4,380.00"
20 ft ZONE 5,"$3,838.00"
20 ft ZONE 4,"$3,838.00"
20 ft ZONE 3,"$3,669.00"
20 ft ZONE 2,"$3,669.00"
20 ft ZONE 1,"$3,669.00"
36 in Kitchen Cabinet with Butcher Block Counter Top,"$2,287.00"
Interior Drywall 20',"$3,902.00"
24 in Pocket Door,$573.00
24 in Barn Door,$972.00
30 in All-in-One Drop-In Stainless Steel Sink,$930.00
2 Bay Commercial sink,"$1,362.00"
Farmhouse 34 in Sink,"$1,140.00"
Washer Dryer Connections,"$1,832.00"
6 ft x 6 ft Window (Slider) (Hurricane Glass) ,"$5,920.00"
6 ft x 6 ft Window (Picture) (Hurricane Glass),"$5,920.00"
6 ft x 3 ft Window (Picture) (Hurricane Glass),"$3,641.00"
6 ft x 3 ft Window (Slider) (Hurricane Glass),"$3,641.00"
5 ft x 5 ft Window (Slider) (Hurricane Glass)  ,"$4,542.00"
5 ft x 5 ft Window (Picture) (Hurricane Glass)   ,"$4,542.00"
4 ft x 4 ft Window (Slider) (Hurricane Glass)  ,"$3,576.00"
4 ft x 4 ft Window (Picture) (Hurricane Glass)  ,"$3,576.00"
3 ft x 3 ft Window (Slider) (Hurricane Glass),"$2,773.00"
3 ft x 3 ft Window (Picture) (Hurricane Glass) ,"$2,773.00"
2 ft x 2 ft Window (Picture) (Hurricane Glass) ,"$1,755.00"
2 ft x 2 ft Window (Slider) (Hurricane Glass),"$1,755.00"
72 in x 80 in Full Glass Double Door,"$3,429.00"
6 ft x 6 ft Window (Picture),"$2,790.00"
6 ft x 6 ft Window (Slider),"$2,790.00"
6 ft x 3 ft Window (Picture),"$1,936.00"
6 ft x 3 ft Window (Slider),"$1,936.00"
5 ft x 5 ft Window (Slider),"$2,445.00"
5 ft x 5 ft Window (Picture) ,"$2,445.00"
4 ft x 4 ft Window (Picture),"$2,172.00"
4 ft x 4 ft Window (Slider),"$2,172.00"
3 ft x 3 ft Window (Picture),"$1,456.00"
3 ft x 3 ft Window (Slider),"$1,456.00"
2 ft x 2 ft Window (Slider),"$1,231.00"
36 in x 80 in 6 Panel Front Door,"$1,824.00"
36 in x 80 in Full Glass Door ,"$2,360.00"
36 in x 80 in Half Glass Door Smooth,"$2,085.00"
Interior Shiplap 40' - White,"$13,298.00"
Interior Shiplap 40 - Rustic Rough Cut,"$13,662.00"
Interior Shiplap 40 - Grey,"$15,591.00"
5 ft Bathroom Tile Shower,"$5,940.00"
3 ft Bathroom Tile Shower,"$3,915.00"
4 ft Bathroom Tile Shower,"$4,590.00"
Full Bathroom,"$6,750.00"
1/2 Bathroom,"$4,185.00"
"Metal commercial door 36""","$3,680.00"
72 in x 80 in  Grilled Double French Door,"$2,831.00"
Hardwood Flooring - 40',"$4,084.00"
40 ft Container Wood Vinyl Flooring,"$2,744.00"
Interior Recessed Light Qty 8,"$1,304.00"
"Premium 40"" Bathroom Vanity","$1,525.00"
Wall Mounted Bathroom Vanity and Sink Combo,"$1,144.00"
"24"" Bathroom Vanity",$817.00
"18"" Bathroom Vanity",$735.00
40 ft Cabin Cladding,"$9,860.00"
20 ft Cabin Cladding,"$7,250.00"
40 ft ZONE 8,"$7,633.00"
40 ft Rooftop Party Deck,"$14,816.00"
40 ft ZONE 7,"$7,315.00"
20 ft Rooftop Party Deck,"$10,126.00"
Faux Ceiling Beam,$473.00
40 ft ZONE 6,"$7,204.00"
40 ft ZONE 5,"$5,743.00"
40 ft ZONE 4,"$5,743.00"
40 ft ZONE 3,"$5,362.00"
